1143,Matteo Anthony,85,88,79,58
1144,Legend Elijah,70,72,75,76
1145,Malachi Adrian,67,78,91,65
1146,Jason Aaron,100,94,56,82
1147,Leon Jace,90,65,72,89
1148,Dawson Charles,79,56,68,81
1149,Bryson Oscar,55,75,60,72
1150,Amari Simon,70,64,85,91
1151,Calvin Mason,89,72,64,70
1152,Ivan Julian,90,77,89,94
1153,Chase Theodore,56,95,70,53
1154,Cole Diego,77,69,59,82
1155,Ashton Nathaniel,65,84,97,85
1156,Ace Eli,64,100,74,60
1157,Arlo Everett,92,85,70,68
1158,Dean Javier,70,55,71,78
1159,Brayden Joaquin,78,89,96,79
1160,Jude Carter,69,92,75,74
1161,Hayden Zion,72,83,91,87
1162,Max Liam,99,77,64,53
1163,Matias Thomas,55,67,85,60
1164,Rhett Jason,64,83,67,95
1165,Jayce Jaden,92,68,80,69
1166,Elliott Oliver,67,76,88,97
1167,Alan Kingston,79,93,59,60
1168,Braxton Dominic,80,61,75,68
1169,Kaiden Spencer,72,79,63,92
1170,Zachary Robert,100,87,90,76
1171,Jesus Parker,95,65,72,54
1172,Emmanuel George,97,66,94,91
1173,Adonis Caleb,92,75,58,99
1174,Charlie Jackson,85,76,81,88
1175,Judah Charles,80,60,59,72
1176,Tyler Jackson,100,80,62,53
1177,Elliot Amari,64,92,55,85
1178,Antonio Miguel,82,91,93,74
1179,Emilio Hunter,75,64,97,66
1180,Camden Mason,88,84,66,77
1181,Stetson Brooks,93,73,92,67
1182,Maxwell Levi,78,60,79,68
1183,Ryker Finn,95,58,72,93
1184,Justin Graham,56,67,80,81
1185,Kevin Diego,66,81,64,50
1186,Messiah Max,82,64,78,85
1187,Finn Xavier,70,75,86,97
1188,Bentley Zayden,93,88,80,89
1189,Ayden Gabriel,75,56,88,55
1190,Zayden Ezra,67,76,97,82
1191,Felix Jacob,94,79,70,85
1192,Nicolas Levi,94,82,89,65
1193,Miguel Nathaniel,50,85,72,94
1194,Maddox Malachi,83,60,79,72
1195,Beckett Matthew,90,56,60,93
1196,Tate Liam,74,90,72,79
1197,Caden Noah,88,87,82,60
1198,Beckham Sebastian,95,64,77,72
1199,Andres Wyatt,89,82,79,55
1200,Asher Lucas,59,75,86,92
